Date,Units,NAV,Amount,fundcode,fundname
13-12-2022,11.389,87.8,1000.0,119775,Kotak Midcap Fund
05-01-2023,11.61,86.13,1000.0,119775,Kotak Midcap Fund
20-02-2023,17.473,85.84,1500.0,119775,Kotak Midcap Fund
10-08-2023,100.341,99.66,10000.0,119775,Kotak Midcap Fund
12-09-2023,96.05,104.11,10000.0,119775,Kotak Midcap Fund
11-10-2023,95.918,104.25,10000.0,119775,Kotak Midcap Fund
13-11-2023,94.582,105.72,10000.0,119775,Kotak Midcap Fund
12-12-2023,90.289,110.75,10000.0,119775,Kotak Midcap Fund
11-01-2024,86.307,115.86,10000.0,119775,Kotak Midcap Fund
12-02-2024,87.921,113.73,10000.0,119775,Kotak Midcap Fund
12-03-2024,86.105,116.13,10000.0,119775,Kotak Midcap Fund
12-04-2024,81.753,122.31,10000.0,119775,Kotak Midcap Fund
28-10-2024,33.497,149.26,5000.0,119775,Kotak Midcap Fund
04-12-2024,51.185,156.29,8000.0,119775,Kotak Midcap Fund
06-01-2025,52.32,152.9,8000.0,119775,Kotak Midcap Fund
30-01-2025,57.414,139.33,8000.0,119775,Kotak Midcap Fund
03-02-2025,3.589,139.3,500.0,119775,Kotak Midcap Fund
03-03-2025,63.263,126.45,8000.0,119775,Kotak Midcap Fund
02-04-2025,58.975,135.64,8000.0,119775,Kotak Midcap Fund
02-05-2025,57.447,139.25,8000.0,119775,Kotak Midcap Fund
02-06-2025,53.408,149.78,8000.0,119775,Kotak Midcap Fund
21-07-2025,62.889,159.0,10000.0,119775,Kotak Midcap Fund
01-08-2025,64.15,155.88,10000.0,119775,Kotak Midcap Fund
08-08-2025,0.647,154.63,100.0,119775,Kotak Midcap Fund
08-11-2023,108.4,184.49,20000.0,120841,quant Mid Cap Fund
11-12-2023,100.48,199.04,20000.0,120841,quant Mid Cap Fund
08-01-2024,96.36,207.54,20000.0,120841,quant Mid Cap Fund
07-02-2024,86.761,230.51,20000.0,120841,quant Mid Cap Fund
13-03-2024,89.996,222.22,20000.0,120841,quant Mid Cap Fund
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
